gene,rxnID,kcat_value1
YJR048W,r_0001_2,7826.268261
YJR048W,r_0002_2,2763.304581
YCR034W,r_0005_3,108953.4474
YDR127W,r_0039,37792.64508
YHR163W,r_0091_2,17253.23633
YOR374W,r_0176,6115.437659
YPL271W,r_0226_1,5781961.125
YLR304C,r_0280_rvs,205470.5449
YLR304C,r_0302_rvs,7561960.831
YJR048W,r_0437_2,276416.5813
YJR048W,r_0438_3,1719663.138
YDR231C,r_0438_5,1714948.729
YBL045C,r_0439_1,61662.89203
YNL277W,r_0549,16413.48951
YNL037C,r_0658,35862.0408
YLR174W,r_0659_fwd,37727.278
YJR148W,r_0663_fwd,27572.29455
YLR027C,r_0681,282169.6608
YLL041C,r_1021_1_fwd,38611.36904
YDR178W,r_1021_1_rvs,24929.14425
YDR178W,r_1021_2_fwd,79846.85411
YKL141W,r_1021_2_fwd,79846.85411
YKL141W,r_1021_2_rvs,56434.74868
YLL041C,r_1021_3_fwd,18911.30662
YLL041C,r_1021_3_rvs,59861.10706
YBR006W,r_1023,74141.81356
YPR074C,r_1050_2_fwd,8066.611004
YLR027C,r_1065,362791.5853
YCR034W,r_2158_1,2132.828805
YCR034W,r_2159_1,3907.608714
YBR159W,r_2162,1955.646246
YBR159W,r_2167,2250.57287
YLR304C,r_2305_fwd,2478852.931
YLR304C,r_2305_rvs,67598.85467
YKL174C,r_1250,3252.663657
YOR273C,r_1260_5_fwd,3178.193713
YOR273C,r_1261_2_rvs,3232.186338
YOR273C,r_1262_3_rvs,11911.52362
YKL069W,r_4202_rvs,8435.475533
YOR374W,r_4678_3_fwd,7523.924992
