GO Term,Count
 cofactor metabolic process,25
 monocarboxylic acid metabolic process,16
 cellular amino acid metabolic process,16
 lipid metabolic process,15
 nucleobase-containing small molecule metabolic process,15
 generation of precursor metabolites and energy,10
 vitamin metabolic process,9
 cellular respiration,7
 response to chemical,7
 ion transport,6
 response to oxidative stress,4
 carbohydrate metabolic process,4
 transmembrane transport,4
 cellular ion homeostasis,3
 mitochondrion organization,2
 regulation of cell cycle,2
 signaling,2
 meiotic cell cycle,1
 histone modification,1
 conjugation,1
 sporulation,1
 regulation of organelle organization,1
 chromatin organization,1
 lipid transport,1
 other,1
 protein targeting,1
 Golgi vesicle transport,1
 protein folding,1
 organelle fission,1
 carbohydrate transport,1
 response to heat,1
 pseudohyphal growth,1
 nucleobase-containing compound transport,1
 tRNA aminoacylation for protein translation,1
 endosomal transport,1
 mitotic cell cycle,1
 response to osmotic stress,1
 biological process unknown ,1
 tRNA processing,1
 RNA modification,1
 oligosaccharide metabolic process,1
 protein glycosylation,1
